"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD17B",203.346560177772,-0.355078014724179,0.232430137149887,-1.52767631202317,0.126592924272071,0.281947939693229
"ABHD17C",145.669605111622,-1.39559218547748,0.393925566490228,-3.54278143942734,0.000395930694581123,0.00544356771550911
"ABHD2",1662.16792166796,0.153131856882344,0.273364247397453,0.560175144848775,0.575359978730945,0.738865473086183
"ABHD3",166.587957334276,-0.100372438906297,0.285865736789287,-0.351117416286521,0.72550026243814,0.843227412522209
"ABHD4",262.229218153785,0.664624898431989,0.345189745461145,1.92539004176994,0.0541805804786742,0.160947361288533
"ABHD5",424.278786183058,-0.445978663911852,0.311103937997684,-1.43353590051686,0.151704746908295,0.317807592374848
"ABHD6",47.1602576973662,-0.121004191637074,0.329201660310794,-0.367568594650573,0.713194935700457,0.835204773114951
"ABHD8",109.669645062853,1.16551002899882,0.415255566312665,2.80672945422061,0.00500472551690061,0.0322749377244076
"ABI1",1011.48029479632,0.534454998442153,0.20675828044225,2.58492669458736,0.00973997031360074,0.0507627227473184
"ABI2",513.330208233028,-0.0107931150391196,0.271276131535741,-0.0397864529327293,0.968263376673935,0.984826746424034
"ABI3",68.3956356271916,0.191149519968582,0.304847263805099,0.627033740052826,0.530637118762643,0.70450276347041
"ABI3BP",191.08949050351,-1.76203212858913,0.553902963103246,-3.18112060408079,0.00146706541363416,0.0137858262966745
"ABL1",634.768163647334,-0.12338137440764,0.296223363282166,-0.416514663261431,0.677033439832824,0.81169545421864
"ABL2",869.979200342947,-0.317564338916589,0.203192697307778,-1.56287279574606,0.118082517530218,0.269602756399662
"ABLIM1",1173.48775450092,-0.837486760385726,0.361820903808144,-2.31464448728978,0.0206323961094818,0.0848187534542372
"ABLIM2",39.4461747766729,0.799410663347963,0.46146849728873,1.73231903812448,0.0832167741035787,0.213474428531125
"ABLIM3",152.935578295391,0.495789516914891,0.564471087118448,0.878325796004598,0.37976694065922,0.574392123805878
"ABO",4.4465261468924,0.904683040114443,0.771819961703521,1.17214257858487,0.241139817671159,0.427457166843444
"ABR",539.389402560687,-0.721022618719582,0.190941838521707,-3.77613740551479,0.000159279147049596,0.00285083314967492
"ABRA",5.13296934373836,2.75000283254892,0.724583207467996,3.79528921482821,0.000147471442809174,0.00269687510509241
"ABRACL",293.544073185828,0.584988712551469,0.414107430444044,1.41264964003227,0.157758765698759,0.325746288921782
"ABT1",248.133016089056,0.0824510683208315,0.343738144213884,0.239865926167124,0.810434196766919,0.897308760415669
"ABTB1",130.860887554217,0.422496372547308,0.302860102552482,1.39502155941486,0.163009338317784,0.332593523285288
"ABTB2",111.836917301814,0.569444381327429,0.25570181076186,2.22698611179474,0.0259482019979329,0.0991523405079157
"AC093375.1",28.5621246448789,-2.06762336069072,0.768872021655769,-2.68916451952314,0.00716311065521444,0.0411055412612142
"ACAA1",450.695949885056,-0.0641147377714619,0.353473086847437,-0.181385061995214,0.856065343201745,0.924379042410981
"ACAA2",196.261997230501,-0.607781929520544,0.365139435866532,-1.66452009785846,0.0960085381193938,0.234854952917373
"ACACA",1794.83885682229,-1.19392399060189,0.287375672205034,-4.15457572118371,3.25891684051082e-05,0.000919500350292202
"ACACB",245.818890545891,0.374653345990053,0.443777541252656,0.844236833014387,0.39853707597398,0.592367816674106
"ACAD10",200.707786404473,-0.51931736579427,0.287970591742832,-1.80336944356471,0.0713302131649139,0.192390824321896
"ACAD11",21.7740788109294,-0.420896147144724,0.465013737548731,-0.905126264362493,0.365398499375419,0.560611734417312
"ACAD8",134.062833708972,0.510742581557985,0.239333283268214,2.1340223749223,0.032840949295924,0.1153776459951
