"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAGAB",502.451232497002,-0.0154606093938584,0.276066670104218,-0.0560031726684785,0.955339279705992,0.977225761973465
"AAK1",802.089961493223,-0.763444395394113,0.276681764493926,-2.75928699815297,0.00579276364868982,0.0417250649719377
"AAMDC",53.4688586682039,1.17254345220132,0.434448832905216,2.6989218600505,0.00695645079124038,0.0471066040579955
"AAMP",533.866706685352,0.927163659099731,0.288673541694952,3.21180685162857,0.00131903023511033,0.015535623073876
"AANAT",2.20350238737151,-1.22878142785354,0.816611403461019,-1.5047321438883,0.132392955482889,0.305791154525838
"AAR2",270.250694333936,-0.0244008307257435,0.212578248987997,-0.114785171304714,0.908615402946152,0.952650991871541
"AARD",385.801898289377,1.24800544577855,0.796605833222337,1.56665366198772,0.117195667444135,0.28274942712197
"AARS",2006.76461138027,-0.107921923487823,0.360661444546059,-0.299233325657135,0.764762023328273,0.87002397810117
"AARS2",196.481798605493,-0.408792198911362,0.31119592469075,-1.31361681332298,0.188975187751955,0.381398894426873
"AARSD1",0.306329850995628,-0.0871247399722426,0.846842192579176,-0.102881907320763,0.918056697360078,NA
"AASDH",214.372717631835,-0.250424611462903,0.312059468263129,-0.802490028124206,0.422269554400034,0.620814319951868
"AASDHPPT",413.746804899811,-0.205997706516369,0.274562957210888,-0.750274940978819,0.453089131786746,0.646700042453967
"AASS",101.143964071245,0.417997569508425,0.373568405521463,1.11893180293163,0.263169234079388,0.467853929236388
"AATF",234.975925645658,-0.507131793039639,0.371938018816702,-1.36348468665034,0.172729807374502,0.360264534379287
"AATK",27.3775384880483,1.7464541722709,0.589363391426286,2.96328919929078,0.00304370457484294,0.0271543135842689
"AATK-AS1",1.0407228356087,1.22604991204418,0.889824308943836,1.37785616747133,0.168247700394429,NA
"ABAT",289.161518705194,2.017409855359,0.615675426008526,3.27674253370486,0.00105012079625412,0.0132232981952409
"ABCA1",1688.42733228081,-0.389192666839693,0.308339206674203,-1.26222244338496,0.206868754989898,0.403149131601142
"ABCA10",76.3545377227346,0.231958258165134,0.651166306879117,0.356219687220694,0.721676049425039,0.84321936618958
"ABCA11P",53.9670461314088,-0.00130020343425549,0.422613908444619,-0.00307657511566701,0.997545252087553,0.99888327685682
"ABCA12",223.194608510232,-1.20904610930385,0.827214055998742,-1.46158796569783,0.143854154133722,0.321293234732042
"ABCA13",201.903236557991,-3.67069779501577,0.874527822525068,-4.19734821519706,NA,NA
"ABCA17P",12.7264334104511,1.40548671379044,0.490461694467426,2.86564012978956,0.00416167039804149,0.0336133679792354
"ABCA2",342.032777371183,0.459952385523082,0.461035743896129,0.99765016403307,0.318449026981306,0.525751521285068
"ABCA3",315.021504922453,1.36151942975277,0.393533386334923,3.45973042448304,0.000540716420171363,0.00829618379704679
"ABCA4",52.113989192412,1.14687073892612,0.63373846478555,1.80969090982068,0.0703437329796614,0.206540904795308
"ABCA5",297.202531270652,0.448270729131252,0.360286142054767,1.24420752509296,0.213423194924055,0.411093350856757
"ABCA6",188.138126770464,0.0208648673397831,0.584435465469219,0.0357008918393267,0.971520859421872,0.985176314775721
"ABCA7",92.2314043218135,0.0240588641947361,0.330163901577584,0.0728694568963426,0.941909999173339,0.970527794559786
"ABCA8",169.611600419741,-0.825436336608341,0.669844900842956,-1.23227979427713,0.21784458497489,0.416611401581295
"ABCA9",115.993036770046,0.362304688962804,0.672462205543003,0.538773310940573,0.59004328141075,0.75444548026235
"ABCB1",71.8967628918234,-1.03076143528008,0.566245517552972,-1.82034365540677,0.068706687160262,0.203453163579963
"ABCB10",366.613979209997,-0.445280662101432,0.293708779100573,-1.51606180606865,0.129503724856722,0.301783272676235
"ABCB11",5.88519557568873,0.135289215870393,0.823933692135248,0.164199154812795,0.86957436643902,0.930244113793869
"ABCB4",29.6741686600046,-0.552364059607974,0.603018498725386,-0.915998532011072,0.359667664859256,0.563113864021648
"ABCB5",17.6040583393967,0.671979051277832,0.709040481525622,0.94773016320867,0.343266841211407,0.548486988368907
"ABCB6",111.875218649429,0.677682761480245,0.474659791461321,1.42772312648156,0.153371566932671,0.335453161409817
"ABCB7",252.400380405325,-0.452420499557555,0.177261846448443,-2.55227229447338,0.0107022840571451,0.0616999575039986
"ABCB8",208.249394139732,0.233599511116413,0.415791315174534,0.561819120773016,0.574239263219786,0.743285857891088
"ABCB9",69.687869442461,-0.122474023512084,0.383429567103744,-0.319417264654885,0.749410120687487,0.860331708739595
"ABCC1",536.308991960962,-0.542475447559079,0.346755778460073,-1.56443087976266,0.11771641354357,0.283645670582276
"ABCC10",180.589431089053,-0.91734690031674,0.267147155385572,-3.43386362842883,0.000595043483133596,0.00890799310673408
"ABCC11",396.087822708317,-0.494299465656176,0.858374561751023,-0.57585521249353,0.56471305056257,0.73509757727671
"ABCC12",45.1447878542922,-1.51006665390127,0.84914667672398,-1.7783342916999,NA,NA
"ABCC13",6.50541797381431,3.30661360184528,0.828232776819661,3.99237230690431,6.54155602621772e-05,0.00202275363337321
"ABCC2",59.3565945749092,-2.15866796376201,0.697201814572986,-3.09618810313069,0.00196025965457559,0.0204341237572145
"ABCC3",266.200584898642,-0.949375425896909,0.538929122852834,-1.76159607198692,0.0781375680782953,0.220657874296218
"ABCC4",350.725673945035,-2.2739976359671,0.476587870734759,-4.77141315506259,1.82937855464975e-06,0.000152348605290214
"ABCC5",829.607281183901,0.542299364938126,0.382465885768523,1.41790257671854,0.156219210014487,0.33926754773328
"ABCC5-AS1",2.80379582980388,0.124923067995793,0.68095891601306,0.183451695921987,0.854443616569225,0.922876810682918
"ABCC6",56.024951755246,-0.278985222768634,0.734153504365945,-0.380009386469633,0.703938447514865,0.831122750509304
"ABCC6P1",4.96774884454978,-1.57511588315609,0.869477768553484,-1.81156544781651,0.0700533678247461,0.206010909910055
"ABCC6P2",1.21020741156065,-0.0862543124194315,0.907404689462006,-0.0950560575905454,0.924270300932319,NA
"ABCC8",28.1992506346054,2.5299122745428,0.731924876840992,3.45651904258531,0.000547200543610759,0.008367324771833
"ABCC9",299.842531861201,0.0972362907219069,0.3246833548909,0.299480368356365,0.764573548855044,0.869856903702008
"ABCD1",153.317502007059,-0.355302393582418,0.336559346460735,-1.0556901697094,0.291109789765187,0.497796787914079
"ABCD2",33.5613745536578,-1.77412556233205,0.592024485001487,-2.99670977683904,0.00272910395740595,0.0253089884745593
"ABCD3",1116.19983920018,0.423134190114532,0.299348474278621,1.41351710956341,0.157503734278279,0.340994361224118
"ABCD4",60.6670804128992,-0.311262150401855,0.357712052297619,-0.870147227085551,0.384219951397895,0.585119455345344
"ABCE1",1188.17803343214,-0.817699434741963,0.307974328870217,-2.65508959055658,0.00792873477561947,0.0508387555260042
"ABCF2",452.171497638004,-0.353644240316788,0.365824086872578,-0.966705728264328,0.333691162703922,0.539667573791814
"ABCF3",521.992626384305,0.577509103065805,0.332658445489238,1.73604221055163,0.0825563712885131,0.227811990632844
"ABCG1",343.258847784523,0.301481984735828,0.279452345433255,1.07883147041911,0.280662862943068,0.48777622994266
"ABCG2",42.6304623028887,1.19212769742191,0.422117623143785,2.82415997830972,0.00474047170155713,0.0366253773544661
"ABCG4",12.0594143367034,2.66573753397313,0.720917426195188,3.69770161895266,0.000217560405179632,0.00437939400218079
"ABCG5",3.41662436897983,1.47099044711276,0.810609177215497,1.81467282688029,0.069574203321215,0.205083571734055
"ABCG8",6.73211082265009,3.19868624023213,0.776973485433546,4.11685379256833,3.8407955218145e-05,0.00139140639155093
"ABHD1",25.5402829173324,0.716366924729081,0.371698348362959,1.9272803548472,0.0539447004915591,0.173664881314502
"ABHD10",298.718185891797,0.178553587756074,0.260297892846913,0.6859586368649,0.492739192215622,0.678774702443861
"ABHD11",189.628022999258,-0.35402106502784,0.432105908451752,-0.819292349637866,0.41261963636985,0.611527811900098
"ABHD12",195.454043806171,-0.175774959352699,0.279045906460756,-0.629914129836625,0.528750767675348,0.709037547903374
"ABHD12B",24.0950148437656,3.92102982033396,0.795807575787358,4.92710793366671,8.34556591039021e-07,8.26764759359652e-05
"ABHD13",305.42064770599,-0.300160167718699,0.272930135810151,-1.09976923884832,0.271432678292349,0.477415290089544
"ABHD14A",19.8897790025636,0.573270082633999,0.484403256968471,1.18345629263866,0.236628358781214,0.43850790559527
"ABHD14B",292.520943724509,0.346373400327166,0.348169304485987,0.994841865334819,0.319813180957105,0.526963181581772
"ABHD15",157.578729782099,0.144236974992322,0.289846334953106,0.497632564564456,0.61874304676241,0.77460382215037
"ABHD16B",32.4354249571431,0.09039866122452,0.420985080478289,0.214731270575709,0.829976840830693,0.908600827043118
