"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AANAT",2.20350238737151,-1.70988597104437,0.794816226691052,-2.1512972604534,0.031452744368228,0.142553494260423
"AAR2",270.250694333936,0.313317027507236,0.204358224323631,1.53317552324713,0.125232613391822,0.323139090507485
"AARD",385.801898289377,-2.46823979396519,0.776869866099436,-3.17715991013772,0.0014872500701984,0.0184374364729097
"AARS",2006.76461138027,-0.837589332353541,0.345116340075758,-2.42697674694185,0.0152252316610784,0.0896739975800287
"AARS2",196.481798605493,-0.633132833506091,0.297583089413198,-2.12758337429241,0.0333716418946511,0.147488309288708
"AARSD1",0.306329850995628,-0.10159199211223,0.858926992625475,-0.118277796581633,0.905847549655578,NA
"AASDH",214.372717631835,0.621252355359284,0.300831821058848,2.06511516359088,0.0389121050010229,0.162806191120172
"AASDHPPT",413.746804899811,0.0122984591517467,0.262910150271859,0.0467781831132408,0.962690017348316,0.983149767081876
"AASS",101.143964071245,0.664052283742779,0.359364380946128,1.84785226069004,0.0646237182712639,0.221266106965476
"AATF",234.975925645658,0.263360610703135,0.357620986985584,0.736423812604017,0.461472817354698,0.671102929401025
"AATK",27.3775384880483,0.892101595516036,0.56132241434086,1.58928553844335,0.111995942179049,0.303809936478806
"AATK-AS1",1.0407228356087,-0.177872360399383,0.858024237229504,-0.207304587308302,0.835771991811284,NA
"ABAT",289.161518705194,2.32850691158206,0.594965524610263,3.91368376026051,9.08986662788317e-05,0.00254699037697911
"ABCA1",1688.42733228081,0.355641840830057,0.295084648309579,1.20521973226119,0.228118486798705,0.454773880606736
"ABCA10",76.3545377227346,2.29688213911757,0.636729047166601,3.60731483719571,0.000309382172133663,0.00619140331721827
"ABCA11P",53.9670461314088,0.321406370603928,0.407978465281234,0.787802293394019,0.43081235938738,0.647721408924289
"ABCA12",223.194608510232,0.75070010738028,0.811334139930822,0.925266262608262,0.354827423271005,0.582956663415376
"ABCA13",201.903236557991,-2.26314078919679,0.863155008891927,-2.62194016820002,NA,NA
"ABCA17P",12.7264334104511,-0.260214695627742,0.430482335981591,-0.604472411241677,0.545529606109594,0.735237144303175
"ABCA2",342.032777371183,1.04100644227074,0.443202007926059,2.34883060918897,0.0188324720801845,0.103246256904889
"ABCA3",315.021504922453,1.65383628157259,0.377777419621037,4.37780607224121,1.19879943450966e-05,0.00053550207913552
"ABCA4",52.113989192412,-0.641407644718995,0.606573379273994,-1.05742794958574,0.290316321311628,0.520462360622188
"ABCA5",297.202531270652,1.14904234437842,0.346294028693657,3.31811191984167,0.000906281628064652,0.0130378560711875
"ABCA6",188.138126770464,1.59928151387774,0.56571114768156,2.82702845866135,0.00469821523603133,0.0410563516215564
"ABCA7",92.2314043218135,0.495939992336797,0.318924367124099,1.55503951237385,0.11993665926732,0.31542979223261
"ABCA8",169.611600419741,2.100964842033,0.652749590661889,3.21863831412382,0.00128800835598638,0.0167139432150984
"ABCA9",115.993036770046,2.02887908184667,0.654313710661597,3.10077421393968,0.00193015405866461,0.0221803245125159
